propertyType,bedrooms,bathrooms,squareFeet,lot_size,oceanProximity,yearBuilt,price,has_garage,has_pool
Condo,1,2,2048,10689,<1H OCEAN,2021,215539,True,False
Condo,5,3,1782,8782,INLAND,1980,1103124,True,False
Condo,2,1,3310,8298,INLAND,1914,2650002,False,False
Apartment,3,2,1462,9146,NEAR BAY,1912,2506633,False,True
Condo,5,3,1789,3810,NEAR BAY,1986,697418,False,True
Apartment,5,2,2416,9914,<1H OCEAN,1981,488467,True,False
Condo,5,3,3278,4845,NEAR OCEAN,1922,2038820,True,True
Villa,5,2,3725,4125,<1H OCEAN,1979,2760819,False,True
Villa,3,2,1224,9341,<1H OCEAN,1961,1347951,False,True
Apartment,1,2,2230,2319,<1H OCEAN,1983,747826,False,False
Villa,3,1,2435,10086,NEAR OCEAN,1924,1895915,False,False
Apartment,3,1,904,5363,<1H OCEAN,1931,812272,True,False
Villa,2,2,3099,12761,<1H OCEAN,1920,1982522,True,False
Villa,4,3,3492,5386,<1H OCEAN,1900,1380296,True,False
Apartment,4,2,1922,14901,INLAND,1927,1524113,False,False
Townhouse,2,1,977,14917,NEAR OCEAN,1990,218561,False,False
Villa,3,3,2088,12908,INLAND,2015,1271476,False,True
Condo,2,1,1955,5338,INLAND,1990,1107273,False,False
Townhouse,5,2,2022,10177,NEAR BAY,2008,2011912,False,False
Apartment,2,1,1519,10436,<1H OCEAN,1999,1229211,False,False
Townhouse,2,1,3928,8734,INLAND,1911,2541298,False,False
House,5,1,3739,12911,<1H OCEAN,1978,2017460,False,False
House,4,2,1208,9258,<1H OCEAN,1919,105835,True,False
Villa,5,1,3801,2869,<1H OCEAN,2007,2246283,True,False
Villa,1,2,3109,3459,INLAND,1982,2847054,True,False
Condo,2,2,3589,8784,NEAR BAY,1950,1371451,True,True
Townhouse,2,1,1453,6109,NEAR OCEAN,1925,1618527,True,False
House,4,3,3422,9042,NEAR BAY,2010,1360342,False,False
Villa,3,1,2965,8429,<1H OCEAN,1984,2536619,False,False
Townhouse,5,1,3818,10862,NEAR BAY,2000,2761306,False,False
Villa,3,1,1107,14928,NEAR BAY,1942,545213,True,False
Villa,1,3,1289,2685,NEAR BAY,1949,2415531,True,False
House,5,3,2144,7027,NEAR OCEAN,1973,2157958,False,False
House,1,2,3604,3974,NEAR BAY,1927,343985,True,False
Villa,1,3,3495,9594,NEAR OCEAN,1925,1046041,True,True
Apartment,1,3,1407,11203,INLAND,1976,1548184,True,False
Villa,5,1,3584,11576,NEAR BAY,1924,2582967,True,False
Villa,5,2,2349,6138,<1H OCEAN,2014,572839,False,False
Condo,4,2,823,11102,INLAND,1930,1275608,False,False
Condo,2,3,2015,3317,NEAR OCEAN,1983,2196432,False,False
Condo,3,3,1552,7464,NEAR OCEAN,1978,783150,True,False
Apartment,3,1,3848,7115,NEAR BAY,1917,696486,True,False
Apartment,1,3,1148,9409,NEAR OCEAN,1939,703356,True,False
Villa,5,3,824,13318,NEAR BAY,1986,1013716,True,True
Condo,5,2,1814,2566,<1H OCEAN,1966,2427448,True,True
Apartment,1,3,1398,14109,<1H OCEAN,1962,714623,False,True
House,2,1,2568,9895,INLAND,1910,1323307,False,False
Villa,3,2,1600,11657,NEAR OCEAN,1926,150287,False,False
Townhouse,4,2,3757,14394,<1H OCEAN,1936,1037496,True,False
Villa,2,3,1758,11399,NEAR OCEAN,1911,1449266,False,False
Townhouse,5,1,2391,9297,<1H OCEAN,1996,1888150,False,False
Condo,1,2,1851,13762,INLAND,1927,1006319,False,True
Townhouse,3,1,3388,4465,NEAR BAY,1905,2214059,True,False
Condo,1,1,3338,6144,NEAR BAY,2021,351579,False,True
House,5,3,3335,6348,NEAR OCEAN,1969,852610,True,False
Townhouse,1,1,1590,5926,<1H OCEAN,1943,222935,True,False
Villa,3,2,971,9559,INLAND,1984,2465557,False,False
Condo,1,3,2885,13332,INLAND,1988,2832732,True,True
Villa,3,2,1098,13705,NEAR BAY,1946,1349127,True,False
Apartment,1,1,3898,6010,<1H OCEAN,1935,1227832,False,True
Condo,1,1,1447,4877,INLAND,1981,330319,False,False
Townhouse,3,3,1547,3400,<1H OCEAN,1943,218818,True,False
Condo,1,3,2580,8707,NEAR OCEAN,2002,2425070,False,False
Villa,2,2,2275,11760,INLAND,1968,1088817,True,False
House,4,2,2292,2740,NEAR OCEAN,1922,1578922,True,False
Condo,2,1,1908,8330,NEAR BAY,1922,498557,False,False
Townhouse,4,3,1725,10891,NEAR BAY,1986,580668,True,False
Apartment,2,1,2860,2702,<1H OCEAN,1934,364790,False,False
House,4,1,3106,8255,NEAR OCEAN,1992,1179550,True,False
Apartment,1,2,1779,6388,NEAR BAY,1968,2251009,False,False
Condo,3,2,1923,11147,NEAR BAY,1960,1874034,False,False
Villa,3,2,1415,11065,INLAND,1980,1270191,True,False
Villa,5,3,2084,12600,INLAND,1937,626853,False,False
Townhouse,4,2,3125,14789,INLAND,1951,449198,False,False
Villa,5,3,1753,9127,INLAND,1901,316604,True,True
House,5,1,3937,13570,<1H OCEAN,1918,404319,False,False
Villa,4,3,3655,3820,NEAR OCEAN,2010,2249097,True,False
Townhouse,3,2,2423,9906,<1H OCEAN,1962,2848993,False,False
Condo,4,3,2340,6744,INLAND,1966,1781262,False,False
Condo,1,3,3503,14373,NEAR OCEAN,1993,384886,False,False
Villa,5,2,1940,6391,NEAR BAY,1996,541975,False,False
Apartment,5,2,3630,13434,INLAND,1922,2989171,True,False
Condo,4,1,1298,3379,NEAR OCEAN,1925,2726360,True,False
Villa,5,3,3052,10470,NEAR OCEAN,1929,436895,False,False
Townhouse,3,1,1386,10038,INLAND,1918,2125424,True,True
Villa,5,1,1903,6347,<1H OCEAN,1938,585042,False,False
Condo,4,3,3889,11223,INLAND,1989,2765172,True,False
Townhouse,3,1,2552,14873,NEAR OCEAN,1995,1064123,False,True
Villa,3,3,1413,3343,<1H OCEAN,2005,2303286,False,True
House,5,1,3847,7270,<1H OCEAN,1927,1167132,True,False
Townhouse,4,1,1443,2604,<1H OCEAN,1972,848884,True,False
House,5,3,3668,8519,<1H OCEAN,1960,1436176,False,False
Apartment,1,2,857,9532,NEAR OCEAN,1947,2597792,True,False
Townhouse,1,3,1935,12847,NEAR OCEAN,1994,1368688,False,False
House,3,2,1396,8583,INLAND,1978,739839,False,True
Condo,5,3,2649,2591,NEAR OCEAN,1995,815095,True,True
Condo,1,3,3162,10038,INLAND,1912,1477442,True,False
Apartment,2,2,961,8163,NEAR BAY,1985,2079683,True,True
Townhouse,1,2,2621,5954,NEAR OCEAN,2003,1156951,True,True
Townhouse,5,3,2773,10203,INLAND,2022,1273334,True,False
Townhouse,5,3,1123,8779,<1H OCEAN,1910,1897628,True,False
Apartment,1,3,3565,2121,<1H OCEAN,1996,420117,False,False
Townhouse,5,2,3427,14712,NEAR OCEAN,1987,645301,False,False
Condo,5,3,1698,4276,NEAR BAY,1939,1624336,False,False
House,2,2,1559,12836,<1H OCEAN,2007,1113788,False,False
Condo,3,1,1301,14265,INLAND,1950,984167,False,False
Condo,5,2,856,10095,INLAND,1969,2901226,False,False
House,4,1,1988,9076,<1H OCEAN,1979,1155069,True,False
Condo,3,3,3144,2877,<1H OCEAN,1929,725338,False,False
Apartment,3,3,1827,2785,<1H OCEAN,1929,1154296,False,False
House,4,2,3257,4076,NEAR BAY,1977,1720214,False,False
Condo,1,1,1606,7671,NEAR BAY,1953,990950,True,False
Villa,2,3,2700,2100,NEAR OCEAN,1906,2729744,False,False
Condo,5,3,1929,10567,INLAND,1966,2076785,True,False
Apartment,1,1,1419,10837,NEAR OCEAN,1994,1968604,False,False
Townhouse,4,3,1578,5382,NEAR OCEAN,1909,1918670,False,False
Condo,2,3,1578,13703,INLAND,1996,1520057,False,False
Townhouse,2,2,3413,7960,INLAND,1960,2498450,False,False
Villa,2,3,3845,12932,INLAND,2020,561731,True,False
Condo,4,1,965,13720,NEAR OCEAN,2001,2084694,True,False
House,1,3,2077,8343,NEAR BAY,1936,1022948,False,False
Townhouse,5,2,3635,6816,INLAND,1914,2554869,False,False
Villa,2,3,1465,4023,<1H OCEAN,1949,1130102,True,True
House,2,1,927,9292,NEAR BAY,1903,1993959,False,False
House,1,3,875,14758,NEAR BAY,2000,1637426,False,False
House,2,1,1686,12144,NEAR BAY,1941,181569,False,False
House,2,2,2044,3045,NEAR BAY,1967,2290277,False,False
Condo,4,3,3629,4097,INLAND,1909,2929050,False,False
Condo,3,3,3281,5822,NEAR OCEAN,2015,1272158,False,False
Condo,1,2,1434,6821,<1H OCEAN,2022,708893,True,False
Villa,1,1,2441,5866,<1H OCEAN,1921,2306897,False,False
Villa,1,1,1414,13823,NEAR OCEAN,1930,936848,True,False
Villa,4,3,1785,8209,NEAR OCEAN,1999,230832,False,False
Apartment,4,1,3373,12206,NEAR BAY,1975,1173784,False,False
Villa,5,1,1956,10076,INLAND,1972,705264,False,False
Condo,4,3,1240,4349,<1H OCEAN,1927,2576326,True,True
Condo,1,1,2357,13590,NEAR BAY,1997,2187524,True,False
Apartment,5,1,3434,2383,NEAR BAY,1968,2260798,True,True
Apartment,3,3,3238,4585,INLAND,1993,2844377,False,False
Villa,2,3,1043,2702,<1H OCEAN,1979,1643704,False,False
Townhouse,2,1,1567,4096,NEAR OCEAN,1918,210866,False,False
Apartment,5,3,1214,2318,NEAR BAY,2019,1129173,False,False
House,3,1,3274,10212,<1H OCEAN,1977,1301153,True,True
Condo,2,1,1048,13696,<1H OCEAN,1946,175086,False,False
House,5,1,3906,2591,NEAR BAY,2014,2884277,False,False
Condo,4,1,3686,6104,<1H OCEAN,1923,1872013,True,False
Condo,1,3,3100,12388,INLAND,1955,112453,False,False
Apartment,3,3,1661,3460,<1H OCEAN,2013,1405350,True,False
Apartment,2,2,2595,12738,INLAND,1910,149000,True,False
House,1,3,1618,3911,NEAR BAY,1976,1019894,True,False
Condo,5,2,1661,5126,<1H OCEAN,1973,2297057,False,False
House,2,1,1009,14584,INLAND,1992,2962963,False,False
Townhouse,1,3,2826,12757,INLAND,2002,1566705,True,False
House,4,1,2957,8912,<1H OCEAN,1990,2054936,False,False
Villa,3,2,3177,8847,NEAR BAY,1953,1600011,True,False
House,5,3,2989,9044,NEAR OCEAN,1958,2729335,True,False
Villa,2,3,1475,7348,NEAR OCEAN,1964,2362282,True,False
Villa,4,3,2934,3270,<1H OCEAN,1931,1537835,True,False
Villa,3,3,2987,9166,<1H OCEAN,1917,2385201,False,False
Townhouse,3,1,2155,2281,NEAR OCEAN,1903,2611992,False,False
House,4,3,3521,13008,NEAR BAY,1979,298644,True,False
House,2,2,825,14544,INLAND,1981,2758560,True,False
Townhouse,3,3,3493,7212,NEAR OCEAN,1984,190696,True,False
Condo,5,2,2450,3829,NEAR BAY,1950,2701408,False,False
Apartment,1,2,3758,10744,NEAR OCEAN,1946,942715,True,False
House,5,1,1161,5739,NEAR BAY,1953,189931,True,False
Apartment,3,3,2694,8276,NEAR OCEAN,1924,926687,False,False
Townhouse,1,2,2482,4964,NEAR BAY,1909,217455,True,False
Condo,4,3,1159,7616,NEAR BAY,1906,1761808,False,False
Condo,1,1,2766,9763,NEAR BAY,2016,2071142,False,False
Condo,1,1,1795,13659,INLAND,1964,2418073,True,False
Townhouse,1,3,876,13116,NEAR BAY,1996,2477656,True,False
Villa,3,2,2942,4807,NEAR OCEAN,1996,1656374,True,False
Villa,2,1,1756,4919,NEAR BAY,1918,622786,True,False
Apartment,3,2,3844,13196,NEAR BAY,1906,1152239,True,False
Villa,2,2,1017,3570,<1H OCEAN,2010,2706383,True,False
Villa,4,3,3215,12488,NEAR BAY,1944,2740327,False,False
Condo,4,1,2899,7756,NEAR BAY,2004,456101,False,False
Condo,4,3,2267,8707,<1H OCEAN,1977,1581307,True,False
Apartment,4,3,1486,12528,INLAND,1937,2473922,True,False
House,4,3,3672,12648,NEAR BAY,1906,479152,False,False
Apartment,5,2,832,9949,<1H OCEAN,1945,1714510,False,False
Apartment,3,3,3719,8876,NEAR BAY,2006,1056701,False,False
Townhouse,2,1,3491,14596,INLAND,1966,1477011,True,False
Townhouse,4,2,1224,10252,NEAR OCEAN,1974,1674920,True,False
Apartment,5,3,1586,5575,NEAR BAY,1907,1931702,True,False
Apartment,5,1,3878,4828,NEAR OCEAN,1989,1381068,True,False
Apartment,5,3,3342,4574,<1H OCEAN,2001,2867184,False,False
Villa,3,3,1538,5382,NEAR BAY,1902,2840896,False,False
Townhouse,4,3,1566,5764,<1H OCEAN,1992,1443103,True,False
Apartment,5,2,2617,12439,NEAR OCEAN,1911,1162165,False,False
Condo,5,3,2571,5424,NEAR BAY,1981,2423465,True,True
Condo,4,1,2177,3098,NEAR OCEAN,2020,441389,False,False
Villa,3,3,3543,12995,<1H OCEAN,1942,2151288,False,False
Villa,5,3,998,13299,INLAND,1906,2659470,False,False
House,2,2,1514,2197,INLAND,1993,1633578,False,False
House,1,3,3282,12283,INLAND,2005,2613178,False,False
House,1,1,1087,4688,<1H OCEAN,1947,2470043,True,False
Villa,1,1,2824,9098,INLAND,2021,160150,False,False
Villa,3,3,3566,8129,NEAR BAY,1979,2439722,True,False
Villa,5,1,3414,11760,INLAND,2010,2985781,True,True
Condo,1,1,1610,11062,NEAR OCEAN,1944,803640,True,False
Villa,1,3,3255,2509,NEAR BAY,1924,1970813,True,True
Condo,4,1,2830,4463,NEAR OCEAN,1903,2418098,False,True
House,5,1,1716,14225,NEAR OCEAN,1903,457823,False,False
House,5,3,2737,12648,NEAR OCEAN,2001,1202758,True,False
House,4,2,3757,14583,NEAR OCEAN,1949,922534,False,False
Apartment,5,2,2585,9097,NEAR BAY,1957,2311064,False,False
Apartment,2,3,2772,3888,<1H OCEAN,1964,451880,False,False
Townhouse,3,2,1516,4250,NEAR BAY,2005,279829,True,False
Townhouse,4,2,1624,6671,INLAND,1966,447025,False,False
Townhouse,1,2,2527,7010,INLAND,1927,1457214,True,False
Apartment,5,2,1825,2984,<1H OCEAN,2009,2430309,False,False
Apartment,2,3,3032,2795,INLAND,1974,425437,False,False
Townhouse,2,2,3521,8089,NEAR BAY,1936,1581020,True,True
Townhouse,3,2,2384,2847,INLAND,1901,2355021,False,True
Villa,2,3,3449,3391,INLAND,1972,2025461,False,True
Townhouse,5,3,1562,9593,NEAR OCEAN,1960,661630,True,False
Villa,5,2,821,7717,NEAR BAY,1980,2115508,False,False
Condo,2,1,3059,4993,NEAR OCEAN,1995,2843202,False,True
Apartment,5,3,3324,9627,<1H OCEAN,1950,1940028,True,True
Townhouse,5,3,1265,6457,NEAR BAY,1930,1168116,False,False
Apartment,1,2,3836,6571,NEAR OCEAN,1984,2047197,True,False
Apartment,4,1,971,14591,NEAR BAY,1980,1235015,False,False
Apartment,5,3,3522,12424,INLAND,2015,1686257,True,False
Condo,5,3,1596,12504,<1H OCEAN,2005,2496730,False,False
House,3,3,2341,11629,INLAND,1980,551414,True,False
Townhouse,4,1,1043,10593,INLAND,1942,1477024,True,False
House,4,3,1220,12412,NEAR BAY,1990,2862226,False,False
House,4,3,3226,2877,<1H OCEAN,1927,2741067,False,True
House,2,1,1140,5154,NEAR BAY,2022,1220313,False,False
Apartment,1,3,3801,7709,INLAND,1938,881523,False,False
Villa,1,1,2783,11098,<1H OCEAN,1964,1258863,True,True
Apartment,3,1,3518,6441,<1H OCEAN,1915,1416632,False,False
Apartment,4,1,922,3095,INLAND,1966,440901,False,True
House,4,2,1671,13714,NEAR BAY,1978,1001528,False,False
Apartment,5,3,1233,3806,INLAND,1967,432261,True,False
House,2,3,3035,7996,INLAND,1935,956070,True,False
Villa,2,3,1837,3676,INLAND,1929,780365,True,False
Townhouse,3,1,869,10399,NEAR BAY,1992,2337775,False,True
House,1,2,1450,11557,<1H OCEAN,1922,2461973,True,False
Villa,4,1,3684,7501,NEAR OCEAN,1962,2783898,True,False
Townhouse,3,3,3438,11601,INLAND,1968,2718462,True,False
Condo,2,1,3165,9276,<1H OCEAN,1946,963232,True,False
House,2,2,3284,13117,NEAR OCEAN,1910,2470963,False,False
House,2,3,2415,14449,<1H OCEAN,2019,1025424,True,False
Condo,4,1,2708,12255,NEAR BAY,1918,1727577,False,False
Condo,4,2,1026,9181,NEAR OCEAN,1961,898426,False,False
House,4,1,2205,12982,NEAR OCEAN,1971,681568,True,True
Condo,5,1,2838,10437,NEAR OCEAN,1942,1572292,True,False
Apartment,1,3,3027,10068,INLAND,1974,2346256,False,True
Townhouse,2,2,1335,4602,NEAR OCEAN,1908,1242666,True,False
Townhouse,2,1,1922,7167,NEAR BAY,2009,2448962,True,True
Townhouse,5,2,1069,5481,NEAR BAY,1924,2651324,False,True
Apartment,2,3,3793,3477,NEAR OCEAN,1988,2821653,True,False
Condo,2,3,1917,8285,<1H OCEAN,1977,1704246,False,False
Villa,4,3,2615,4497,INLAND,1930,165246,True,False
Condo,4,2,1458,7850,<1H OCEAN,1912,413239,True,False
House,1,2,3132,3480,INLAND,1964,1315306,False,True
Townhouse,2,1,3893,3787,INLAND,1929,2417995,False,False
Condo,3,2,2849,3812,NEAR BAY,1972,901689,False,False
Villa,2,3,2950,14403,INLAND,2003,1021107,True,True
House,2,1,2796,4923,NEAR OCEAN,1928,2455521,False,False
Apartment,1,2,3907,4561,INLAND,1994,318144,False,False
Apartment,3,3,2629,4946,NEAR BAY,1917,2884686,False,False
Villa,2,3,3121,14300,NEAR BAY,1902,2206869,True,False
House,3,1,3922,12516,INLAND,2018,2168268,False,True
Townhouse,4,3,1966,2915,INLAND,1934,1829232,False,False
Condo,4,2,1695,11084,INLAND,1965,1139557,False,False
House,3,3,2306,8371,<1H OCEAN,1903,2133419,True,False
Apartment,2,1,2771,9313,NEAR OCEAN,1940,2471906,True,False
Villa,3,3,816,14504,INLAND,1978,795189,False,True
Villa,3,3,2703,12988,NEAR OCEAN,2013,2223490,False,True
Condo,4,2,2412,14581,NEAR BAY,1980,1307147,True,False
Villa,3,2,2101,4815,NEAR OCEAN,1989,333050,False,True
Villa,5,2,1235,7285,INLAND,1994,1275941,True,False
House,5,2,2804,6593,NEAR BAY,1929,1071658,True,True
Townhouse,4,3,1657,2976,INLAND,1986,1904515,True,False
Condo,2,2,3533,2749,NEAR OCEAN,1993,1039626,True,False
House,2,3,1955,5555,NEAR OCEAN,1910,2606124,False,False
Townhouse,4,2,1062,9580,<1H OCEAN,1932,344215,True,False
House,2,2,3241,13360,NEAR OCEAN,1937,1273679,True,False
House,1,2,2745,6799,NEAR BAY,2009,1315708,True,True
Villa,5,3,3055,9455,INLAND,1904,2193477,False,True
Townhouse,1,2,1607,5015,NEAR OCEAN,1958,2359795,True,False
Condo,1,3,3312,13818,INLAND,2019,1999813,False,True
Condo,1,2,1157,10460,<1H OCEAN,1998,2132944,False,False
Townhouse,4,2,3201,5028,INLAND,1950,2521858,True,False
Villa,1,1,2074,8448,INLAND,1964,115590,False,True
Apartment,3,2,1175,11203,NEAR OCEAN,1967,471563,False,False
House,2,3,1788,12327,NEAR OCEAN,1957,2780625,True,False
Villa,4,1,817,7239,INLAND,1947,493740,True,False
Townhouse,3,3,2538,3248,<1H OCEAN,1957,2646522,True,False
House,3,3,3563,13399,NEAR BAY,2001,2529139,True,False
Condo,5,1,3332,10954,NEAR BAY,1936,671309,True,False
Apartment,5,2,1825,13163,NEAR BAY,1906,889128,True,False
Condo,3,1,3797,10914,NEAR BAY,1959,2941021,False,True
Townhouse,5,3,3223,3405,INLAND,1958,2370880,False,True
House,2,2,1713,8154,INLAND,1909,1098451,True,False
Townhouse,2,1,1365,2438,INLAND,1932,2829637,True,False
House,5,3,3712,2314,INLAND,1950,1979341,True,False
Villa,1,2,2152,4112,<1H OCEAN,2022,1069176,True,False
Apartment,3,3,2271,6996,INLAND,1977,1691168,False,False
Villa,2,2,3963,2591,INLAND,1935,1407295,True,False
Villa,5,2,2075,14932,INLAND,2010,1234953,True,True
Townhouse,5,1,1411,14482,NEAR OCEAN,1937,1755314,False,False
Apartment,2,2,1862,7533,NEAR BAY,2015,533744,False,True
House,2,3,1235,5670,NEAR OCEAN,1954,706717,False,False
House,1,2,1447,10048,<1H OCEAN,1929,525139,False,True
Condo,5,3,3209,3909,<1H OCEAN,1925,1156166,False,True
House,5,2,3409,10027,NEAR BAY,1994,1749853,False,False
Townhouse,4,2,882,14288,NEAR BAY,1941,145608,False,True
Villa,1,1,2589,6463,INLAND,1946,1079787,False,False
Villa,2,2,2531,8774,NEAR BAY,1918,803635,True,False
Villa,2,2,1850,4423,<1H OCEAN,2003,2028862,True,True
Apartment,3,3,2412,13454,INLAND,1976,2844929,False,True
House,2,3,820,14577,<1H OCEAN,1986,1609462,False,True
Townhouse,5,3,2041,5270,NEAR OCEAN,1982,1840795,True,False
Apartment,2,2,1868,14522,INLAND,1979,624599,False,False
Condo,5,3,1753,11445,INLAND,1924,1322930,True,False
Townhouse,5,3,2230,13489,NEAR OCEAN,1989,815888,False,True
Townhouse,1,2,3541,3453,<1H OCEAN,1984,855521,False,False
Townhouse,2,3,1597,2195,NEAR BAY,1917,829381,False,False
Villa,1,1,3326,7586,INLAND,1908,1607044,True,True
Townhouse,5,1,3710,10981,NEAR BAY,1987,1259115,False,True
House,2,3,1455,12396,NEAR OCEAN,2010,2974907,False,True
Townhouse,2,3,1562,13259,<1H OCEAN,2003,282794,True,False
Villa,1,3,1417,5553,<1H OCEAN,1916,1387260,True,False
Townhouse,1,2,1510,14641,<1H OCEAN,1993,2699580,True,True
Condo,5,1,1136,11004,NEAR BAY,1903,1135261,True,False
Condo,5,1,2234,6930,NEAR BAY,1954,2200199,True,False
Villa,2,3,1567,4580,NEAR BAY,1953,2472137,True,False
House,2,3,3666,11723,NEAR BAY,1927,2433323,False,True
House,4,2,3232,10165,INLAND,2004,407239,False,False
Apartment,4,2,2305,2404,NEAR BAY,1939,2373952,True,True
Villa,3,1,2426,12939,NEAR OCEAN,1908,102924,True,False
Townhouse,5,2,3972,10144,INLAND,1935,813481,True,False
Villa,3,1,3985,4844,<1H OCEAN,1907,1557034,False,False
Apartment,3,3,1820,4336,NEAR BAY,1961,2708143,True,False
Villa,1,3,1877,9846,NEAR BAY,1985,1536718,False,False
Villa,1,1,2575,2089,INLAND,1988,756643,False,False
Apartment,4,3,3439,11597,<1H OCEAN,2021,2240587,True,False
House,3,2,2013,7062,<1H OCEAN,1948,2435323,True,False
Townhouse,4,3,3678,13765,NEAR OCEAN,1969,2021361,True,False
Apartment,5,3,2690,8728,INLAND,1989,2650004,False,False
Condo,2,1,2426,11809,NEAR OCEAN,1941,332628,True,True
House,1,2,3929,5594,INLAND,1901,2822308,True,False
Condo,5,2,3350,11717,INLAND,1930,201410,True,False
House,5,3,988,11887,INLAND,1975,2373302,True,True
Townhouse,1,3,2588,13882,<1H OCEAN,1918,2580706,False,False
Townhouse,1,2,2371,6041,NEAR OCEAN,2020,179899,False,False
Villa,3,2,1669,13354,NEAR OCEAN,2000,1195915,True,False
Condo,4,1,2391,10944,NEAR BAY,2011,1679990,True,False
House,5,3,3426,2715,NEAR OCEAN,2000,1153128,False,True
Townhouse,3,3,2136,4441,NEAR BAY,1964,1006194,False,False
Apartment,3,2,1992,10139,NEAR BAY,1973,2708780,False,False
Townhouse,5,1,3646,5429,<1H OCEAN,1959,1502349,False,False
Apartment,5,2,2978,7268,NEAR BAY,1961,1791879,True,False
House,2,3,1477,10666,INLAND,1959,2103741,True,False
Townhouse,4,3,1748,4821,INLAND,1997,1524214,False,False
Townhouse,5,3,2387,10060,<1H OCEAN,1915,1471744,True,True
House,1,3,951,11843,INLAND,2004,735796,True,False
Townhouse,2,1,1721,8151,INLAND,1906,739855,False,False
Apartment,4,3,1928,9396,NEAR OCEAN,1976,2536940,True,False
Townhouse,1,2,1915,12309,<1H OCEAN,1967,1316553,True,False
Condo,1,1,1512,14990,INLAND,2002,425423,False,True
Villa,4,1,1604,13952,<1H OCEAN,1994,1273195,True,False
Apartment,2,3,2708,12279,<1H OCEAN,1973,597813,False,False
Condo,1,1,1231,4901,INLAND,1911,1080478,False,False
House,3,3,2402,5100,INLAND,1997,521827,False,False
Apartment,4,1,2128,5592,NEAR BAY,1991,2094056,True,False
Villa,4,1,827,14564,<1H OCEAN,1904,469758,False,False
Villa,5,2,2111,13847,<1H OCEAN,1991,2295134,True,False
House,2,2,1154,10374,INLAND,2020,2940239,True,False
House,3,2,2662,8665,NEAR BAY,1946,2187789,True,False
Apartment,3,1,2804,8832,NEAR OCEAN,1910,265302,False,True
Townhouse,5,2,3525,11814,INLAND,1933,2760899,True,False
House,1,2,2983,2083,NEAR BAY,1978,1888874,True,False
Townhouse,1,2,3939,2085,<1H OCEAN,1950,1839548,False,False
Condo,3,1,953,9464,<1H OCEAN,1904,1024257,False,False
Villa,2,3,2286,11934,INLAND,1947,450257,False,False
Townhouse,1,2,3173,3310,NEAR BAY,1984,2534568,False,False
Villa,4,1,1615,11132,INLAND,1930,238827,False,False
Townhouse,5,1,1919,3036,<1H OCEAN,1939,2822237,False,False
Condo,2,3,2955,3400,NEAR BAY,1906,2505382,False,False
House,1,2,1869,5480,NEAR BAY,1998,2187851,True,False
Condo,3,1,2009,6820,<1H OCEAN,1984,496533,True,True
House,5,1,1253,13203,<1H OCEAN,1939,1168530,False,False
House,1,1,3170,7749,NEAR OCEAN,1968,891042,True,False
Villa,3,3,3132,6713,NEAR OCEAN,1913,466222,False,True
Condo,1,2,1906,8158,<1H OCEAN,1997,1689842,False,False
Townhouse,5,1,3497,14095,NEAR BAY,1909,996880,False,False
Condo,4,1,2150,2724,<1H OCEAN,1981,2603269,True,False
Villa,4,1,3596,2187,INLAND,1980,1221482,False,False
House,3,1,1248,8377,<1H OCEAN,2001,755363,True,True
Villa,4,2,1120,6830,NEAR BAY,1948,2711618,True,True
Apartment,5,2,1968,8601,NEAR OCEAN,2019,755316,True,False
Apartment,3,1,1077,4772,<1H OCEAN,1995,1644875,True,False
Townhouse,1,1,3459,6612,NEAR OCEAN,1916,2426079,True,False
Villa,2,1,1837,4580,INLAND,2019,2497688,False,False
Townhouse,1,3,1213,5700,NEAR BAY,1985,2651037,True,False
Townhouse,5,3,3341,4939,NEAR OCEAN,1988,1872728,False,False
Apartment,3,3,846,3138,INLAND,1950,1258911,True,False
Townhouse,1,1,2739,9211,NEAR BAY,1979,1416918,False,False
Apartment,3,3,1455,10395,NEAR BAY,1961,1670802,False,True
House,4,2,3616,9640,NEAR OCEAN,1929,1620397,False,True
Villa,2,3,3279,5380,NEAR OCEAN,1954,2318552,False,False
Townhouse,5,1,2343,3345,NEAR OCEAN,1933,2809517,False,True
Apartment,1,2,2147,10552,NEAR BAY,1968,133842,True,False
Condo,2,1,2625,3143,NEAR BAY,2007,2739718,True,True
Townhouse,5,2,3803,2213,NEAR BAY,1932,664204,True,False
House,5,3,2116,3848,NEAR OCEAN,1904,1798934,True,False
House,4,3,3224,13574,NEAR OCEAN,2003,529832,False,False
Condo,3,2,1907,2641,INLAND,1941,962767,False,False
Apartment,3,2,2196,2605,<1H OCEAN,1902,2467079,False,False
Townhouse,2,1,3895,2365,INLAND,1962,465255,True,False
Apartment,4,2,1708,3228,<1H OCEAN,1937,612977,False,False
House,5,1,3172,2898,INLAND,1912,2871617,True,False
Apartment,4,2,1115,14474,NEAR OCEAN,2015,2717857,True,True
House,4,2,2767,12963,NEAR BAY,1907,533175,True,True
Apartment,2,3,1020,13256,<1H OCEAN,1960,289744,False,True
Condo,3,3,2745,4750,NEAR BAY,1929,831943,True,False
Villa,4,1,3061,7380,<1H OCEAN,1949,1050522,False,False
Condo,4,1,1644,2089,NEAR BAY,1968,320484,False,True
Condo,4,1,2314,2988,INLAND,1937,970466,True,False
Villa,1,2,1908,9057,NEAR BAY,1958,2394252,True,False
